Unnamed: 0,Annual,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Annual.1,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
1940.0,1775.1000000000001,1952.0,866.0,,,1991-2024,1489,,,,,,,,,
1941.0,1355.8999999999999,1953.0,1040.0,,,,,,,,,,,,,
1942.0,795.3,1954.0,1315.8000000000002,,,,,,,,,,,,,
1943.0,1707.3000000000002,1955.0,1374.0,,,,,,,,,,,,,
1944.0,2105.0,1956.0,1138.8,,,,,,,,,,,,,
1945.0,1188.3,1957.0,1803.5,,,,,,,,,,,,,
1946.0,1510.1000000000001,1958.0,913.3,,,,,,,,,,,,,
1947.0,960.2,1959.0,1256.5,,,,,,,,,,,,,
1948.0,1105.6,1960.0,2234.3,,,,,,,,,,,,,
1949.0,685.0,1961.0,1009.0000000000001,,,,,,,,,,,,,
1950.0,1196.8,1962.0,1479.7,,,,,,,,,,,,,
1951.0,832.1999999999999,1963.0,2348.1,,,,,,,,,,,,,
1952.0,866.0,1964.0,717.4,,,,,,,,,,,,,
1953.0,1040.0,1965.0,1312.7,,,,,,,,,,,,,
1954.0,1315.8000000000002,1966.0,1266.8,,,,,,,,,,,,,
1955.0,1374.0,1967.0,1582.6999999999998,,,,,,,,,,,,,
1956.0,1138.8,1968.0,742.6999999999999,,,,,,,,,,,,,
1957.0,1803.5,1969.0,1781.6,,,,,,,,,,,,,
1958.0,913.3,1970.0,1799.1,,,,,,,,,,,,,
1959.0,1256.5,1971.0,1500.7999999999997,,,,,,,,,,,,,
1960.0,2234.3,1972.0,1641.8000000000002,,,,,,,,,,,,,
1961.0,1009.0000000000001,1973.0,1251.9,,,,,,,,,,,,,
1962.0,1479.7,1974.0,719.1,,,,,,,,,,,,,
1963.0,2348.1,1975.0,1421.6,,,,,,,,,,,,,
