Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,Unnamed: 14,NM,SW,NE,Unnamed: 18,Unnamed: 19,NM.1,SW.1,NE.1,Annual.1,Unnamed: 24,NM.2,SW.2,NE.2,Annual.2,Unnamed: 29,NM.3,SW.3,NE.3,Annual.3,Unnamed: 34,NM.4,SW.4,NE.4,Annual.4
1901.0,26.2,48.9,7.199999999999999,15.2,76.8,1.1,11.7,42.7,113.6,91.60000000000001,445.6,188.1,1068.7,1901.0,174.3,169.1,725.3000000000001,,1931,348.59999999999997,90.4,1311.8,1750.8,1961.0,245.0,173.8,590.2,1009.0,1990.0,285.20000000000005,301.0,740.2,1326.4,1901.0,174.3,169.1,725.3000000000001,1068.7
1902.0,210.1,7.2,5.1,0.0,6.7,39.8,17.5,98.8,55.4,321.5,528.8,401.0,1691.8999999999999,1902.0,229.09999999999997,211.5,1251.3,,1932,188.10000000000002,221.4,1476.1999999999998,1885.6999999999998,1962.0,347.79999999999995,368.3,763.6,1479.6999999999998,1992.0,28.1,176.7,708.4000000000001,913.2,1902.0,229.09999999999997,211.5,1251.3,1691.8999999999999
1903.0,69.6,0.5,0.0,13.2,132.3,41.1,33.1,76.0,378.6,75.0,265.8,505.2,1590.4,1903.0,215.60000000000002,528.8,846.0,,1933,218.60000000000002,173.6,730.5,1122.7,1963.0,296.29999999999995,313.9,1737.9,2348.1,1993.0,64.19999999999999,314.1,1480.1,1858.3999999999999,1903.0,215.60000000000002,528.8,846.0,1590.4
1904.0,182.9,0.0,0.0,3.0,140.0,26.0,24.7,52.7,34.2,144.0,118.7,256.1,982.3000000000001,1904.0,325.9,137.60000000000002,518.8,,1934,238.99999999999997,80,624.5,943.5,1964.0,33.6,242.0,441.79999999999995,717.4,1994.0,155.5,30.999999999999996,861.3000000000001,1047.8000000000002,1904.0,325.9,137.60000000000002,518.8,982.3
1905.0,16.6,0.6,6.6,81.7,51.2,9.0,7.4,107.0,60.8,312.8,237.6,28.2,919.5000000000001,1905.0,156.7,184.2,578.6,,1935,223.39999999999998,218.6,1278.9,1720.9,1965.0,196.6,229.4,886.7,1312.7,1995.0,1340.0,217.70000000000002,766.8000000000001,2324.5,1905.0,156.7,184.2,578.6,919.5
1906.0,49.6,2.4,3.1,0.0,1.9,58.7,73.39999999999999,167.3,37.8,330.9,802.4,380.1,1907.6,1906.0,57.0,337.2,1513.4,,1936,224.5,217.4,668.8,1110.6999999999998,1966.0,131.9,347.4,787.5000000000001,1266.8000000000002,1996.0,22.9,485.6,1165.8,1674.3,1906.0,57.0,337.2,1513.4,1907.6000000000001
1907.0,38.0,5.8,4.9,35.0,16.7,31.2,39.6,28.7,130.0,240.3,561.9,62.1,1194.1999999999998,1907.0,100.39999999999999,229.5,864.3000000000001,,1937,153.3,147.7,970.4,1271.4,1967.0,141.79999999999998,199.6,1241.3,1582.6999999999998,1997.0,79.50000000000001,249.0,1616.9,1945.4,1907.0,100.39999999999999,229.5,864.3000000000001,1194.2
1908.0,32.9,114.0,27.1,0.7,59.7,47.2,46.9,42.5,109.2,527.3,52.7,165.4,1225.6,1908.0,234.39999999999998,245.8,745.4,,1938,375.4,271.6,532.6,1179.6,1968.0,88.6,238.10000000000002,416.0,742.7,1998.0,110.1,257.1,942.6,1309.8000000000002,1908.0,234.39999999999998,245.8,745.4,1225.6
1909.0,74.3,32.2,0.6,17.7,90.3,4.199999999999999,16.1,122.2,124.3,42.8,119.3,83.8,727.7999999999998,1909.0,215.1,266.8,245.89999999999998,,1939,438.20000000000005,128.39999999999998,855.3,1421.9,1969.0,72.5,69.7,1639.4,1781.6000000000001,1999.0,273.3,89.60000000000001,834.1,1197.0,1909.0,215.1,266.8,245.89999999999998,727.8
1910.0,11.3,40.2,0.0,2.8,0.0,15.2,169.1,172.8,58.0,372.4,288.8,0.4,1131.0,1910.0,54.3,415.1,661.6,,1940,70.30000000000001,134.20000000000002,1570.6000000000001,1775.1000000000001,1970.0,279.5,380.59999999999997,1139.0,1799.1,2000.0,424.70000000000005,234.20000000000002,656.0,1314.9,1910.0,54.3,415.1,661.6,1131.0
