Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1952.0,72.10000000000001,60.7,0.0,47.1,6.7,8.7,84.7,55.5,17.6,135.1,138.0,239.8,866.0
1953.0,92.39999999999999,0.2,1.1,48.4,2.6,49.2,25.2,54.5,106.0,156.4,370.9,133.1,1040.0
1954.0,105.2,4.0,26.3,35.90000000000001,12.4,11.8,98.1,91.2,20.3,411.2,132.3,367.1,1315.8000000000002
1955.0,73.6,13.2,0.3,130.4,147.1,14.7,55.8,154.9,71.1,183.7,232.7,296.5,1374.0
1956.0,63.8,0.9,0.0,11.7,2.7,66.89999999999999,37.5,87.89999999999999,97.39999999999999,174.7,423.4,171.9,1138.8
1957.0,0.0,13.3,0.0,6.2,42.3,35.1,82.5,117.4,111.4,302.5,396.2,696.6,1803.5
1958.0,17.9,0.0,1.9,20.6,53.2,11.0,47.6,62.3,14.9,175.7,437.2,71.0,913.3
1959.0,8.1,5.8,0.0,38.0,17.8,28.0,4.3,34.3,45.8,434.2,467.8,172.4,1256.5
1960.0,64.7,36.7,0.2,25.7,9.2,65.4,181.6,0.0,92.7,285.0,1417.4,55.7,2234.3
1961.0,206.6,2.1,0.0,0.0,36.3,33.6,43.3,20.1,76.8,158.3,161.9,270.0,1009.0000000000001
1962.0,0.1,15.0,35.0,106.5,191.2,88.80000000000001,102.6,90.2,86.7,465.6,234.5,63.5,1479.7
1963.0,185.7,1.3,88.2,17.7,3.4,41.5,25.4,156.2,90.8,308.5,740.9,688.5,2348.1
1964.0,0.0,0.0,4.3,0.0,29.3,10.6,106.0,38.2,87.19999999999999,70.1,242.6,129.1,717.4
1965.0,10.0,36.8,0.9,116.9,32.0,42.4,27.3,118.2,41.5,136.4,247.1,503.2,1312.7
1966.0,65.2,0.0,1.8,5.4,59.5,0.0,40.9,244.7,61.8,371.1,171.8,244.6,1266.8
1967.0,76.5,5.2,20.8,27.6,11.7,23.4,36.7,100.4,39.1,266.2,330.8,644.3,1582.6999999999998
1968.0,15.4,0.5,1.7,45.8,25.2,8.1,11.6,75.5,142.9,86.0,180.6,149.4,742.6999999999999
1969.0,6.0,20.2,0.0,6.1,40.2,14.1,13.2,35.1,7.300000000000001,327.7,517.8,793.9,1781.6
1970.0,72.5,82.1,0.0,57.5,67.4,78.8,39.8,169.2,92.8,115.8,951.7,71.5,1799.1
1971.0,96.8,4.4,38.9,70.5,69.60000000000001,33.2,85.9,58.8,52.3,302.7,120.4,567.3,1500.7999999999997
1972.0,9.6,0.0,0.0,9.299999999999999,41.4,52.4,45.2,19.8,78.6,515.6,460.3,409.6,1641.8000000000002
1973.0,0.0,1.6,2.4,2.6,49.0,30.1,16.7,80.9,89.3,389.3,335.0,255.0,1251.9
1974.0,3.6,38.3,21.1,0.4,91.4,54.7,14.4,66.3,145.2,80.7,90.2,112.8,719.1
1975.0,48.1,0.7,60.0,3.8,18.7,6.5,112.3,166.4,75.3,288.8,401.0,240.0,1421.6
1976.0,3.9,2.4,2.3,4.7,0.8,39.8,122.8,100.2,100.3,241.8,573.0,380.0,1572.0
1977.0,26.5,26.1,20.9,0.8,69.89999999999999,157.6,56.8,70.7,68.1,520.5,798.0,42.6,1858.5
1978.0,4.4,1.0,0.0,62.1,3.8,10.2,115.2,18.8,99.69999999999999,297.7,500.6,533.5,1647.0
1979.0,0.7,24.3,24.8,0.0,23.1,39.5,3.0,49.7,201.7,223.8,581.2,334.8,1506.6000000000001
1980.0,11.2,0.0,0.0,12.4,21.9,46.4,30.6,23.8,53.5,256.1,253.1,171.9,880.9
1981.0,80.89999999999999,0.1,0.8,0.8999999999999999,27.7,6.7,124.4,15.7,140.6,581.1,354.3,277.2,1610.4
1982.0,2.0,0.0,0.6,47.5,26.7,90.7,8.6,8.3,40.1,175.5,440.9,166.0,1006.9
1983.0,0.2,0.0,0.0,0.0,58.3,0.0,56.5,166.6,170.1,188.7,185.1,821.5,1647.0
1984.0,111.5,341.5,73.2,55.9,0.0,31.8,164.4,28.3,158.8,55.9,439.4,157.8,1618.4999999999998
1985.0,195.1,3.6,0.0,4.2,0.4,76.3,84.5,146.2,67.5,183.6,877.9,199.6,1838.8999999999999
1986.0,257.4,47.2,51.0,11.4,17.1,9.3,45.8,113.4,85.8,177.4,288.6,339.5,1443.9
1987.0,61.9,6.999999999999999,37.7,5.5,12.3,35.6,15.3,68.8,69.4,516.3,233.2,278.7,1341.7
1988.0,5.1,0.0,44.5,111.1,1.3,29.6,26.0,112.8,58.59999999999999,32.1,777.3,65.4,1263.8
1989.0,23.5,0.0,3.9,0.9,22.9,12.4,140.2,78.5,109.5,121.0,614.4,150.3,1277.4999999999998
1990.0,83.1,5.5,85.2,0.0,111.4,3.8,20.2,161.4,115.6,409.3,187.9,143.0,1326.4
1991.0,78.2,0.7,0.2,0.0,0.0,216.3,21.1,78.5,110.5,283.9,745.3,152.5,1687.2
1992.0,2.2,0.0,0.0,1.1,24.8,5.2,11.3,87.6,72.6,155.1,380.5,172.8,913.2
1993.0,0.0,4.6,9.8,22.9,26.9,28.8,34.6,112.9,137.8,249.8,706.4,523.9,1858.4
1994.0,18.3,101.7,1.9,1.3,32.3,0.2,13.5,11.1,6.2,154.6,563.7,143.0,1047.8
1995.0,1189.0,0.6000000000000001,4.5,12.9,133.0,51.6,57.5,34.2,74.4,269.6,445.1,52.1,2324.5
1996.0,9.7,0.0,0.0,13.2,0.0,161.1,14.7,128.7,181.1,163.2,505.7,496.9,1674.3000000000002
1997.0,63.90000000000001,0.0,0.0,15.4,0.2,54.0,63.2,17.9,113.9,275.1,759.1999999999999,582.6,1945.4
1998.0,20.3,4.2,0.0,2.4,83.19999999999999,6.3,23.3,132.4,95.1,83.9,322.6,536.1,1309.8000000000002
1999.0,31.1,118.2,1.1,49.6,73.3,10.1,27.2,32.1,20.2,215.8,499.4,118.9,1197.0
2000.0,289.1,112.3,4.0,12.1,7.2,33.5,22.3,59.90000000000001,118.5,148.3,340.7,167.0,1314.9
2001.0,11.0,2.8,0.0,53.5,78.0,38.3,19.2,34.6,51.9,156.1,281.3,284.9,1011.6
2002.0,13.7,209.2,0.0,0.0,11.1,18.4,46.7,17.6,15.4,240.0,219.0,84.1,875.1999999999999
2003.0,13.5,0.0,7.1,11.0,23.3,29.8,62.7,34.0,42.4,129.4,436.8,38.0,828.0
2004.0,8.7,0.0,2.3,0.0,226.2,3.4,54.7,57.90000000000001,289.3,699.8,405.7,80.2,1828.2
2005.0,3.9,0.0,3.3,238.9,16.3,0.7,60.1,91.7,136.2,223.3,949.8000000000001,68.2,1792.3999999999999
2006.0,55.7,0.0,26.5,34.5,59.5,21.4,0.0,50.5,141.1,384.0,329.4,44.7,1147.3
2007.0,0.0,26.4,0.0,6.9,19.0,44.50000000000001,57.3,227.6,54.5,457.6,130.2,438.9,1462.9
2008.0,8.0,27.2,283.4,10.8,17.2,26.5,10.4,69.6,10.8,314.9,591.6,176.0,1546.4
2009.0,46.7,0.0,91.2,167.9,50.8,15.6,0.6000000000000001,138.1,14.3,153.3,724.1,538.8,1941.3999999999999
2010.0,52.1,0.0,0.4,1.8,141.1,124.0,40.1,219.7,146.5,92.3,592.6,460.0,1870.6
2011.0,72.4,132.0,67.7,190.1,92.5,352.3,227.8,178.6,181.4,129.0,213.7,197.0,2034.5
2012.0,15.6,15.9,49.8,235.8,71.3,173.4,200.8,256.4,130.6,193.6,144.3,27.7,1515.2
2013.0,12.0,24.2,26.8,0.7,4.0,23.2,28.7,200.8,143.4,100.5,205.9,261.9,1032.1
2014.0,6.600000000000001,3.6,0.0,0.0,122.9,36.8,92.7,72.0,29.6,378.6,364.6,140.6,1248.0
